Secondary Name,Primary Name
רבי יהודה בן דוסתאי(1435),רבי דוסתאי בן יהודה(858)
רבי יהודה בן חגרא(1440),רבי יהודה בן אגרא(1409)
רב יהודה בריה דרב יהושע(1451),רב הונא בריה דרב יהושע(918)
רב יהודה בר יצחק(1455),רבי שמואל בר רב יצחק(2795)
רבי יהודה ברבי סימון(1469),רבי יהודה בריה דרבי שמעון בן פזי(1493)
יהודה בן פדיה(1472),בר פדא(763)
רבי יהודה בן פזי(1473),רבי יהודה בריה דרבי שמעון בן פזי(1493)
רבי יודה בר פפי(1478),רבי יהודה בריה דרבי שמעון בן פזי(1493)
רבי יהודה בן פתירא(1479),רבי יהודה בן בתירא(1423)
יהודה בן קנוסא(1483),יהודה בן נקוסא(1467)
יודן בריבי(1496),רבי יהודה בריה דרבי חייא(1441)
רבי יודן גיריא(1498),רבי יודן בר גירייא(1430)
רבי יהודה הלוי ברבי שלום(1505),רבי יודן בר שלום(1488)
רב יהודה מדפתי(1513),רב ירמיה מדיפתי(1965)
יהודה מנשייא בר מנשה(1515),רב מנשיא בר ירמיה מגיפתי(2143)
רבי יהושע ברבי בנימין בר לוי(1535),רבי בנימין בר לוי(696)
רבי יהושע בריה דרבי טימי(1542),רבי הושעיה בי רבי שמי(250)
רבי יהושע בן עוזאה(1550),יהושע איש עוזא(1529)
רבי יהושע בן פתירה(1553),רבי יהושע בן בתירא(1536)
רבי יהושע בן פתר ראש(1554),רבי יהודה בן פתירוש(1480)
רבי יהושעיא בריה דרבי שמאי(1561),רבי הושעיה בי רבי שמי(250)
רבי יוחנן בן המשולם(1582),רב נתן בן המשולם(2344)
רבי יוחנן בר חנינא(1584),רבי אחא בר חנינא(281)
רבי יוחנן ברבי יאשיה(1585),רבי אחי ברבי יאשיה(322)
רבי יוחנן בן יוסף(1588),רבי יונתן בן יוסי(1634)
רבי יוחנן בן פזי(1596),רבי חנינה בן פזי(1274)
רבי יוחנן בן קצרתה(1598),רבי יצחק בן קצרתה(1928)
רבי יוחנן דבית גוברין(1601),רבי יונתן דבית גוברין(1643)
רבי יוחנן החורני(1604),רבי יוחנן בן החורנית(1581)
יוחנן הכהן הסופר הלז(1605),יוחנן סופר הלה(1611)
רבי יוחנן הנזוף(1607),רבי יוחנן בן נזיף(1594)
רבי יונה בי רבי יוסי(1617),רבי יונה(1615)
רבי יונה בן צרויה(1618),רבי יונה בוצרייה(1616)
רבי יונה דכפר אימי(1620),רבי יודן דכפר אימי(1501)
יונתן בן בתירה(1627),יוחנן בן בתירא(1578)
רבי יונתן בן המשולם(1629),רב נתן בן המשולם(2344)
יונתן שידא(1646),יונתן בן רבי חנינא(1622)
אבא יוסי בן אבא(1658),אבא יוסי בן דוסאי(1677)
רבי יוסי בר אבהו(1661),רב יוסי בר אבא(1660)
רבי יוסה בר אביי(1662),רבי יוסי בר אבא(1659)
רבי יסא בר אחא(1665),רבי יעקב בר אחא(1852)
רבי יוסי בר בר כהנא(1673),רבי יוסי בר אבא(1659)
רבי יוסי בן גזירה(1675),רבי יושוע בר גיזורה(1537)
רבי יוסי בן דלגאי(1680),רבי אלעזר בן דלגיי(433)
רבי יוסי בר הונא(1681),רבי יוסי ברבי חנינא(1689)
רבי יוסי בר יאסיניאה(1694),רבי יוסי בר אסיין(1671)
אבא יוסי בן יוחנן איש ינוח(1698),אבא יוסי בן חנן איש ינוח(1691)
אבא יוסי בן יוחנן איש ירושלים(1700),אבא יוסי בן חנן איש ירושלים(1692)
רבי יוסי בן יוסי בן פרורה(1703),רבי יוסי בן פרידא(1725)
רבי יוסי ברבי לעיי(1713),רב יוסה בי רבי אילעאי(1666)
רבי יוסי בר ממל(1714),רבי דוסא ממלחיא(854)
רבי יוסי בר נתן(1717),רב אסי בר נתן(547)
