ID, Link ID, Concatenated Name
22914,0,רבי תנחומא בי רבי מנחם בר' יעקב
20628,0,מר נתן בר אסיא
21383,0,רבה בר מחסיא
21939,0,רבי חלפתא דמן הוה
21769,0,רבי דוסא בר' חנינא
20053,0,אבא חגרת
22752,0,רבי קמצפא
20988,0,רב חמא בר' חנינא
21992,0,רבי חנינא בר יצחק
20085,0,אבא נתיאה
22745,0,רבי פנחס צפוראה
21301,0,רבא אחוה דרב מרי בר רחל
21635,0,רבי אלעזר בנו טבול
22378,0,רבי יוסי בר רבי חנינא
21907,0,רבי חייא קטוספה
22501,0,רבי יצחק בר חלוקה
21256,0,רב שמואל בר אדא
20425,0,חמא אבוה דרב יוסף
21427,0,רבי אבא בר אלישיב
21586,0,רבי אינייני בר סיסיי
20450,0,חנניה בן שמואל
22987,0,שמעון בן לוגא
20900,0,רב הונא בריה דרב אידי
20400,0,חורני או חורנית
20885,0,רב הונא בר בר ביזנא
20924,0,רב המנורא זוטא
21967,0,רבי חנינא איש אונו
22035,0,רבי חניניה בריה דר' איבו
20925,0,רב המנורא זוטי
22541,0,רבי יצחק רביא
21750,0,רבי ברכיה בר' סימון נכד ריב''ל
22275,0,רבי יוחנן בן החורני
22169,0,רבי יהודה דציפורין
22205,0,רבי יהושע בר אביין
20245,0,בן אחייה
21109,0,רב ינאי
21624,0,רבי אלעזר בן זמרא
20890,0,רב הונא בר חלוון
21775,0,רבי דוסתאי דר' יהודה
20860,0,רב גביהה מבי כתיל
20990,0,רב חמא בריה דרבה בר אבוה
22784,0,רבי שמואל בר איביה
20864,0,רב גידל בר מיניימין
21858,0,רבי חייא בר טיטם
21484,0,רבי אבדימי אחיה דר' יוסי
22307,0,רבי יונה בר פפא
20455,0,חסידי דבבל
21321,0,רבא בר ירמיה
21207,0,רב נפקא
22667,0,רבי נחמיה בן אלעזר
21808,0,רבי זכאי דכבול
20406,0,חזקיה בר' פרנך
21937,0,רבי חלפתא בר קינא
20540,0,ייבא סבא
20108,0,אביי בר כיילי הכהן
20892,0,רב הונא בר כהנא
20430,0,חנין בר אשי
21313,0,רבא בר זימונא
20338,0,דוסתאי אבוה דר' אפטוריקי
22870,0,רבי שמעון ספרא דטרכנס
20379,0,המן בר ריסתק
20889,0,רב הונא בר חיון
20691,0,עולא בר קישב
20368,0,החוטף אפרתי
22118,0,רבי יהודה בר אבין
22629,0,רבי מנחם בר אבין
20229,0,בטרים בר יטסם
20300,0,בר זוזא
22863,0,רבי שמעון דמן קצטור
20779,0,רב אחא בר פפי
20876,0,רב דימי חיננא עירובין
21872,0,רבי חייא בר עוקבה
22317,0,רבי יונתן בן חרשא איש גנוסר
20778,0,רב אחא בר פפא
21079,0,רב יהודה מדאסקרתא
20839,0,רב אמי בר חמא
21882,0,רבי חייא בריה
22363,0,רבי יוסי בר אסי
21922,0,רבי חיננא בר שלמיה
20113,0,אבימי בן רחבה מפומבדיתא
21002,0,רב חנא קרטיגנאה
21142,0,רב כהנא בר ביזנא
22540,0,רבי יצחק רבי נחמני
22655,0,רבי נהוראי סבא
21147,0,רב כהנא בריה דר''נ
21680,0,רבי אמי חתנו דר' יונה
22742,0,רבי פנחס דדהובא
22235,0,רבי יודן בר גורייא
21243,0,רב שזבי
22377,0,רבי יוסי בר רבי חוני
21413,0,רבותינא שבארץ ישראל
20999,0,רב חנא בר רב קטינא
20656,0,נחום איש הקדשים
21790,0,רבי הורייני אחוי דר' שמואל בר סוסרטי
21443,0,רבי אבא בר יעקב בר אידי
22397,0,רבי יוסי דפקיעין
21415,0,רבותינו שבגולה
22255,0,רבי יודן בריה דר' אייבו
21037,0,רב חנניא אחי רבה בר נחמני
22189,0,רבי יהושע בן חנניא
22814,0,רבי שמלאי דיבורא
22822,0,רבי שמעון בן זומא
21828,0,רבי חגאי
20475,0,יהודה בן רבי חייא
21014,0,רב חנין בר רבא
20718,0,צורבא מרבנן
22392,0,רבי יוסי בריה גר' תנחום מכפר אגין
21683,0,רבי אנייני בר סיסי
20354,0,הודרם בן לוי
21535,0,רבי אדא דחוטרא
21425,0,רבי אבא בר אחוה דר' יוסי
21281,0,רב שמואל קפוטקאה
22872,0,רבי שמעיה חסידא
21144,0,רב כהנא בר מלכיו
22875,0,רבי ששא בנו של רבי אבא
20912,0,רב הונא ספרא דסרא
21512,0,רבי אביטל ספרא
20764,0,רב אחא בר אהבה
22670,0,רבי נחמיה בר עוקבן
20336,0,דוד בר נהילאי מנהרדעא
22036,0,רבי חנן אבוה דר' שמעון
20887,0,רב הונא בר גוריון
20823,0,רב אידי בר שישי
21848,0,רבי חייא בר אבא הכהן
21595,0,רבי אליעזר בן שמעיה
20227,0,בוני זעירא
20862,0,רב גזא
21027,0,רב חנן בר רב
21444,0,רבי אבא בר ירמיה
21523,0,רבי אבין בר רב אדא
20652,0,נהוראי בן שונאי
21728,0,רבי ביבן
21711,0,רבי בא כיבמות
21724,0,רבי ביבי בר כהנא
20843,0,רב אסי דהוצל
20576,0,לוי בר פאטי
21130,0,רב יצחק בריה דר' אמי
20740,0,רב אבדימי בר חמא בר חסא
21510,0,רבי אבידימי בר נחוניא
21902,0,רבי חייא מאבל ערב
22760,0,רבי רחומאי
21307,0,רבא בר אפיתון
21975,0,רבי חנינא בן עקביא
22815,0,רבי שמלאי דקיסרין
21218,0,רב סעורם
20620,0,מר זוטרא בריה דרב טבי
22204,0,רבי יהושע בר אבא
20558,0,יצחק סחורה
20082,0,אבא נהוראי
22132,0,רבי יהודה בר טיטם
20066,0,אבא יוסי בן דוסתאי
22502,0,רבי יצחק בר חלקיה
20614,0,מר הונא בריה דרב נחמן
21719,0,רבי ביבא בר זבדא
21235,0,רב פפא ברב חנן
20810,0,רב אחדבוי בר מתנה
21173,0,רב מרי בר איסיר
21351,0,רבא ברב הונא
21454,0,רבי אבא בר רב אדא
20411,0,חי'ת אבא חליפא
20474,0,יהודה בן פתורה
20891,0,רב הונא בר חנינא
21602,0,רבי אלכסגדרי
22483,0,רבי יצחק בן קצצתא
20111,0,אביי דברדלייה
22940,0,רבנן דטבריא
22732,0,רבי פנחס ב''ר אבין
20886,0,רב הונא בר גדיבא
20508,0,יוסטי חברא
21370,0,רבה בר חיננא
20594,0,מנחם בר מבסימא אחוי דר' יונתן קיפה
20596,0,מנחם בר' סימאי
20710,0,פנחס איש הבתה
20593,0,מנחם בר מבסימא אחוי דר' יונתן קיפא
22841,0,רבי שמעון בר חנן
20519,0,יוסי רישא
22899,0,רבי תנחום בר נחמני
21051,0,רב טבי בר קיסנא
22008,0,רבי חנינא בר שלקא
22416,0,רבי ייסא סבא
22871,0,רבי שמעיה
21919,0,רבי חיננא בר כהנא
22690,0,רבי נתן בריה דר' ברכיה
22356,0,רבי יוסי בן תדאי
20240,0,בית הלל ובית שמאי
22520,0,רבי יצחק בר פנחס
21756,0,רבי גמליאל
22279,0,רבי יוחנן בן שאול
22605,0,רבי לוליאני בר טברי
20396,0,חבי בר גנאי
22960,0,שילא בר בריה דרב אחא
20034,0,אבא בר מחסיא
20222,0,באטי בר טיביה
21228,0,רב עמרם בריה דר' שמעון בר אבא
21805,0,רבי זירא בר ממל
20997,0,רב חנא בר הינדא
21726,0,רבי ביבי מרגניא
20635,0,מריון בר אבין
20269,0,בן קופיא
22112,0,רבי יהודה בן פנחס
22424,0,רבי ינאי הכהן
20933,0,רב זוטרא
20588,0,מהללאל בן קינן
20867,0,רב דימי בר חנינא
20930,0,רב זביד אבוה דר' שמעון בר זביד
21540,0,רבי אושעיא בנו של רבי יהודה הבושם
20669,0,נקיי הדעת שבירושלים
21012,0,רב חנין בר רב
22408,0,רבי יוסי קטנתא
22977,0,שמואל הזקן
20919,0,רב המנונא ב''ר יוסף
20141,0,אונקלוס הגר
21267,0,רב שמואל בר יהודא
20591,0,מנחם איש גופתה אריה
20217,0,אפרים ספרא תלמידו של ריש לקיש
22621,0,רבי מיישא בר' ירמיה
21205,0,רב נחמן ברבי יצחק
20633,0,מר קשישא בר רב חסדא
22119,0,רבי יהודה בר אלעאי
21305,0,רבא בר אהולאי
21330,0,רבא בר נתן בר אמי
22596,0,רבי לוי בר שלום
21304,0,רבא בר אדא
20538,0,יחזקאל בן בוזי הכהן
21830,0,רבי חגיי
22861,0,רבי שמעון בריה דר' אבהו
21530,0,רבי אבין נגרא
22847,0,רבי שמעון בר נחמן
20320,0,בר שמואל
22423,0,רבי ינאי דשאב
20206,0,אמרי במערבא
21917,0,רבי חיננא בר חייא
22981,0,שמעון בן אנטיפרוס
21095,0,רב יוסף בר נחוניא
20873,0,רב דימי בריה דרב הונא
20404,0,חזקיה בן גרון
22787,0,רבי שמואל בר גדליה
20812,0,רב אחיי בר אדא דמן אחא
21659,0,רבי אלעזר בר' שמעון
23009,0,תקיפי קדמאה
20447,0,חנניה בן חזקיה בן גוריון
21955,0,רבי חנא בר ליוואי
21260,0,רב שמואל בר אמי
21720,0,רבי ביבא רבה
22303,0,רבי יוחנן ספרא דגופתא
21525,0,רבי אבין בריה
22145,0,רבי יהודה בר פדא
20386,0,זוגא דמן הדייב
21764,0,רבי גמליאל בריה פאה
22768,0,רבי שילא דינווה
22803,0,רבי שמואל בר פוניא
22694,0,רבי סימאי בר קיסי
22236,0,רבי יודן בר דורתי
20701,0,עיני בן היקף
21405,0,רבה בריה דרבא
21170,0,רב מנשיא מדויל
20385,0,זבידה בת פדיה
22090,0,רבי יהודה איש כפר גבוריא
20255,0,בן דרוסאי
21016,0,רב חנינא בר יצחק
20026,0,אבא בר חיננא
20958,0,רב חייא בריה ד''נ
22660,0,רבי נחום ברבי סימאי
20840,0,רב אמי בר שמואל
20063,0,אבא יודן רמאה
21140,0,רב כהן
20605,0,מנשיא מבירי דנרש
20671,0,נתן החבר
22813,0,רבי שמלאי בריה דרב עולא
20346,0,דייני גזירות שבירושלים
22523,0,רבי יצחק בר רבי יוסי
22588,0,רבי לוי בר חזותא
21815,0,רבי זעירא בר הלל
21446,0,רבי אבא בר מדיא
22201,0,רבי יהושע בן קופסאי
21696,0,רבי אסי דהוצל
20794,0,רב אחא בריה דרב נחמן
21836,0,רבי חוניא חמוהי דר' אמי
21618,0,רבי אלעזר בן דגלאי
21605,0,רבי אלכסגדרי קרובה
20293,0,בר בוהין
21924,0,רבי חיננא בריה דר' אסא
21437,0,רבי אבא בר חייא בר אבא הכהן
21925,0,רבי חיננא בריה דר' אסי
20080,0,אבא מר מרתא
23004,0,תחנא חסידא
